REGION,SGL,ROUTE,STOP,LAT,LONG,VALUE_16,NOISE_16,VALUE_17,NOISE_17,VALUE_18,NOISE_18,VALUE_19,NOISE_19,VALUE_20,NOISE_20
NE,57,BEECH LK,1,41.35349,-76.22199,,,,,,,0,N ,0,L
NE,57,BEECH LK,2,41.35357,-76.22139,,,,,,,0,N,1,M
NE,57,BEECH LK,3,41.35363,-76.22139,,,,,,,0,L,0,L
NE,57,BEECH LK,4,41.35724,-76.22094,,,,,,,0,M,0,M
NE,57,BEECH LK,5,41.36152,-76.22041,,,,,,,1,H,1,L
NE,57,BEECH LK,6,41.36408,-76.22103,,,,,,,0,M,0,L
NE,57,BEECH LK,7,41.36457,-76.22629,,,,,,,0,N,0,L
NE,57,BEECH LK,8,41.36202,-76.22977,,,,,,,0,N,0,L
NE,57,BEECH LK,9,41.36421,-76.23419,,,,,,,0,L,0,L
NE,57,BEECH LK,10,41.36466,-76.23825,,,,,,,0,N,0,L
NE,187,1,1,41.0995,-75.86655,0,L,0,L,0,L,0,L,0,L
NE,187,1,2,41.10303,-75.86885,0,L,0,M,0,L,0,L,2,L
NE,187,1,3,41.10711,-75.87045,2,L,0,L,0,M,0,M,0,L
NE,187,1,4,41.10887,-75.86671,0,L,0,L,0,L,0,L,0,M
NE,187,1,5,41.10939,-75.86044,1,M,0,L,0,H,0,M,0,M
NE,187,1,6,41.11024,-75.85502,3,M,0,H,0,H,0,M,0,M
NE,187,1,7,41.10679,-75.85481,0,N,0,M,1,L,3,L,0,L
NE,187,1,8,41.10455,-75.85465,0,N,0,M,0,L,0,L,0,L
NE,187,1,9,41.11316,-75.8802,0,N,0,L,0,L,0,L,,
NE,187,1,10,41.11893,-75.88081,0,N,0,L,0,L,0,L,,
NE,219,1,1,41.97737,-76.23607,2,N,0,N,0,N,1,L,0,L
NE,219,1,2,41.97955,-76.23129,0,N,0,N,0,N,0,L,0,N
NE,219,1,3,41.98103,-76.22631,0,N,0,N,0,N,1,N,0,N
NE,219,1,4,41.98177,-76.2207,2,L,1,L,1,N,0,M,0,L
NE,219,1,5,41.98067,-76.21581,0,M,0,H,1,L,0,H,1,N
NE,219,1,6,41.97992,-76.20975,0,N,0,N,1,N,1,L,1,L
NE,219,1,7,41.97978,-76.2042,0,N,0,N,1,N,0,L,0,N
NE,219,1,8,41.97958,-76.1984,0,N,0,N,0,N,0,N,0,N
NE,219,1,9,41.98295,-76.19688,0,N,0,N,0,N,0,N,0,N
NE,219,1,10,41.98739,-76.19705,0,N,0,N,0,N,0,L,0,N
NE,236,1,1,41.77418,-75.55397,0,N,0,M,0,N,0,N,0,N
NE,236,1,2,41.77114,-75.54945,0,N,0,L,0,N,0,L,0,N
NE,236,1,3,41.7682,-75.54488,1,N,0,N,0,L,0,L,0,L
NE,236,1,4,41.76575,-75.54004,1,L,1,L,0,H,1,M,0,H
NE,236,1,5,41.76909,-75.53358,1,L,0,L,0,M,0,H,0,H
NE,236,1,6,41.77767,-75.53571,0,N,0,M,0,N,0,L,0,M
NE,236,1,7,41.78142,-75.5359,2,L,0,M,0,M,0,L,0,L
NE,236,1,8,41.77832,-75.52604,0,M,0,M,0,H,0,L,0,H
NE,236,1,9,41.77427,-75.52145,0,M,0,H,0,H,0,M,1,H
NE,236,1,10,41.77069,-75.51717,0,N,0,M,3,M,0,M,0,M
NE,289,1,1,41.77924,-76.63445,0,L,0,L,0,L,0,N,0,N
NE,289,1,2,41.78294,-76.63778,0,L,0,M,0,N,0,N,0,L
NE,289,1,3,41.78651,-76.64116,0,L,0,L,1,N,1,L,0,M
NE,289,1,4,41.78966,-76.64471,3,N,1,L,0,L,3,N,2,N
NE,289,1,5,41.79292,-76.64857,0,N,1,L,1,N,1,N,2,L
NE,289,1,6,41.79463,-76.6534,2,L,0,H,0,M,2,M,0,M
NE,289,1,7,41.79489,-76.65912,1,L,1,M,1,H,1,L,0,H
NE,289,1,8,41.79663,-76.6645,0,L,1,L,1,L,1,M,0,N
NE,289,1,9,41.79697,-76.66623,0,N,0,L,0,N,0,L,0,N
NE,289,1,10,41.79103,-76.67099,0,L,0,H,0,H,0,M,0,L
NE,NESCOPECK SP,1,1,41.067167,-75.922183,1,N,,,,,2,M,1,M
NE,NESCOPECK SP,1,2,41.0699,-75.923367,2,N,2,L,1,M,2,L,1,L
NE,NESCOPECK SP,1,3,41.07425,-75.9169,1,L,1,L,2,L,1,M,1,M
NE,NESCOPECK SP,1,4,41.075567,-75.9119,0,L,0,M,0,H,0,M,0,M
NE,NESCOPECK SP,1,5,41.078767,-75.9041,2,N,1,N ,3,L,1,L,1,L
NE,NESCOPECK SP,1,6,41.082733,-75.898867,2,L,0,L,0,M,0,M,1,M
NE,NESCOPECK SP,1,7,41.086067,-75.892933,0,N,0,N ,0,L,0,L,0,L
NE,NESCOPECK SP,1,8,41.087583,-75.887733,0,N,0,N,0,M,0,L,0,M
NE,NESCOPECK SP,1,9,41.091667,-75.881633,2,N,1,N,0,M,2,L,1,M
NE,NESCOPECK SP,1,10,41.095967,-75.875233,0,N,0,N,0,L,0,M,0,M
NW,39,1,1,41.360522,-79.894853,0,L,0,N ,0,M,0,M,0,L
NW,39,1,2,41.362378,-79.900278,3,L,1,L,3,L,3,M,2,M
NW,39,1,3,41.363438,-79.905331,2,L,1,L,2,L,2,M,3,L
NW,39,1,4,41.364781,-79.911099,1,H,1,M,4,L,1,L,1,L
NW,39,1,5,41.367633,-79.915219,4,M,3,L,3,M,3,L,1,L
NW,39,1,6,41.369992,-79.920637,2,L,1,L,2,M,2,L,1,L
NW,69,1,1,41.63281,-79.89119,0,M,0,M,0,L,0,M,0,L
NW,69,1,2,41.62823,-79.89088,0,L,0,L,0,L,0,L,0,M
NW,69,1,3,41.62141,-79.889012,2,M,1,M,3,L,3,M,3,L
NW,69,1,4,41.61324,-79.89942,0,L,0,M,0,M,0,L,0,M
NW,69,1,5,41.61204,-79.89357,0,L,0,M,0,M,0,H,2,M
NW,69,1,6,41.61198,-79.9004,0,L,0,M,0,M,0,L,0,H
NW,69,1,7,41.61205,-79.90723,0,L,0,L,0,M,0,L,0,L
NW,69,1,8,41.61219,-79.91586,0,L,0,L,0,L,0,L,0,L
NW,69,1,9,41.61783,-79.91652,0,M,0,M,0,L,0,M,0,L
NW,69,1,10,41.62293,-79.91669,0,M,0,M,0,L,0,H,0,H
NW,69,2,1,41.62661,-79.90449,0,M,0,M,0,M,0,M,0,M
NW,69,2,2,41.62686,-79.91055,0,H,0,H,0,M,0,M,0,M
NW,69,2,3,41.62527,-79.91673,0,H,0,H,0,M,0,H,0,H
NW,69,2,4,41.62907,-79.91701,0,H,0,M,0,L,0,M,0,M
NW,69,2,5,41.63597,-79.91723,0,M,0,M,0,L,0,M,0,L
NW,69,2,6,41.63912,-79.91271,0,H,0,H,0,H,0,H,0,H
NW,69,2,7,41.64119,-79.90483,0,L,0,L,0,L,0,L,0,L
NW,69,2,8,41.64315,-79.89763,0,M,0,M,0,L,0,M,0,L
NW,69,3,1,41.65282,-79.93137,3,L,0,L,0,L,3,L,0,L
NW,69,3,2,41.64986,-79.92602,2,L,0,M,0,M,2,H,2,M
NW,69,3,3,41.64549,-79.92593,1,M,0,M,0,M,0,M,1,L
NW,69,3,4,41.63963,-79.92813,0,M,0,M,0,M,0,M,1,M
NW,69,3,5,41.6378,-79.92218,3,L,1,L,0,L,0,L,0,M
NW,69,3,6,41.65383,-79.91803,0,L,0,L,0,L,0,L,0,L
NW,69,3,7,41.66236,-79.91848,0,M,0,M,0,M,0,L,0,M
NW,69,3,8,41.66873,-79.91879,0,M,0,L,0,M,0,M,0,M
NW,69,3,9,41.67456,-79.91912,0,H,0,H,0,M,0,H,0,H
NW,101,1,1,41.83668558,-80.4319339,0,L,1,L,0,L,0,M,0,L
NW,101,1,2,41.83659188,-80.43997499,1,L,1,L,0,L,0,M,0,L
NW,101,1,3,41.83654075,-80.44776781,2,L,2,H,1,L,5,M,2,M
NW,101,1,4,41.83664401,-80.45566742,2,L,2,H,2,L,4,M,2,L
NW,101,1,5,41.82773111,-80.49720956,2,L,4,L,2,L,3,M,2,L
NW,101,1,6,41.83465918,-80.49723077,2,L,2,L,2,L,3,M,1,L
NW,101,1,7,41.83923469,-80.49710864,3,L,2,L,3,M,0,M,2,L
NW,101,1,8,41.84507428,-80.49698249,7,L,3,L,2,M,2,M,1,L
NW,101,2,1,41.84100176,-80.46672064,1,H,6,L,0,L,3,L,1,M
