"route_id","sightings","pres_abs","Latitude","Longitude","Route","Stop"
"57_BEECH LK_1",0,0,41.35349,-76.22199,"57_BEECH LK",1
"57_BEECH LK_2",1,1,41.35357,-76.22139,"57_BEECH LK",2
"57_BEECH LK_3",0,0,41.35363,-76.22139,"57_BEECH LK",3
"57_BEECH LK_4",0,0,41.35724,-76.22094,"57_BEECH LK",4
"57_BEECH LK_5",2,1,41.36152,-76.22041,"57_BEECH LK",5
"57_BEECH LK_6",0,0,41.36408,-76.22103,"57_BEECH LK",6
"57_BEECH LK_7",0,0,41.36457,-76.22629,"57_BEECH LK",7
"57_BEECH LK_8",0,0,41.36202,-76.22977,"57_BEECH LK",8
"57_BEECH LK_9",0,0,41.36421,-76.23419,"57_BEECH LK",9
"57_BEECH LK_10",0,0,41.36466,-76.23825,"57_BEECH LK",10
"187_1_1",0,0,41.0995,-75.86655,"187_1",1
"187_1_2",2,1,41.10303,-75.86885,"187_1",2
"187_1_3",2,1,41.10711,-75.87045,"187_1",3
"187_1_4",0,0,41.10887,-75.86671,"187_1",4
"187_1_5",1,1,41.10939,-75.86044,"187_1",5
"187_1_6",3,1,41.11024,-75.85502,"187_1",6
"187_1_7",4,1,41.10679,-75.85481,"187_1",7
"187_1_8",0,0,41.10455,-75.85465,"187_1",8
"187_1_9",0,0,41.11316,-75.8802,"187_1",9
"187_1_10",0,0,41.11893,-75.88081,"187_1",10
"219_1_1",3,1,41.97737,-76.23607,"219_1",1
"219_1_2",0,0,41.97955,-76.23129,"219_1",2
"219_1_3",1,1,41.98103,-76.22631,"219_1",3
"219_1_4",4,1,41.98177,-76.2207,"219_1",4
"219_1_5",2,1,41.98067,-76.21581,"219_1",5
"219_1_6",3,1,41.97992,-76.20975,"219_1",6
"219_1_7",1,1,41.97978,-76.2042,"219_1",7
"219_1_8",0,0,41.97958,-76.1984,"219_1",8
"219_1_9",0,0,41.98295,-76.19688,"219_1",9
"219_1_10",0,0,41.98739,-76.19705,"219_1",10
"236_1_1",0,0,41.77418,-75.55397,"236_1",1
"236_1_2",0,0,41.77114,-75.54945,"236_1",2
"236_1_3",1,1,41.7682,-75.54488,"236_1",3
"236_1_4",3,1,41.76575,-75.54004,"236_1",4
"236_1_5",1,1,41.76909,-75.53358,"236_1",5
"236_1_6",0,0,41.77767,-75.53571,"236_1",6
"236_1_7",2,1,41.78142,-75.5359,"236_1",7
"236_1_8",0,0,41.77832,-75.52604,"236_1",8
"236_1_9",1,1,41.77427,-75.52145,"236_1",9
"236_1_10",3,1,41.77069,-75.51717,"236_1",10
"289_1_1",0,0,41.77924,-76.63445,"289_1",1
"289_1_2",0,0,41.78294,-76.63778,"289_1",2
"289_1_3",2,1,41.78651,-76.64116,"289_1",3
"289_1_4",9,1,41.78966,-76.64471,"289_1",4
"289_1_5",5,1,41.79292,-76.64857,"289_1",5
"289_1_6",4,1,41.79463,-76.6534,"289_1",6
"289_1_7",4,1,41.79489,-76.65912,"289_1",7
"289_1_8",3,1,41.79663,-76.6645,"289_1",8
"289_1_9",0,0,41.79697,-76.66623,"289_1",9
"289_1_10",0,0,41.79103,-76.67099,"289_1",10
"NESCOPECK SP_1_1",4,1,41.067167,-75.922183,"NESCOPECK SP_1",1
"NESCOPECK SP_1_2",8,1,41.0699,-75.923367,"NESCOPECK SP_1",2
"NESCOPECK SP_1_3",6,1,41.07425,-75.9169,"NESCOPECK SP_1",3
"NESCOPECK SP_1_4",0,0,41.075567,-75.9119,"NESCOPECK SP_1",4
"NESCOPECK SP_1_5",8,1,41.078767,-75.9041,"NESCOPECK SP_1",5
"NESCOPECK SP_1_6",3,1,41.082733,-75.898867,"NESCOPECK SP_1",6
"NESCOPECK SP_1_7",0,0,41.086067,-75.892933,"NESCOPECK SP_1",7
"NESCOPECK SP_1_8",0,0,41.087583,-75.887733,"NESCOPECK SP_1",8
"NESCOPECK SP_1_9",6,1,41.091667,-75.881633,"NESCOPECK SP_1",9
"NESCOPECK SP_1_10",0,0,41.095967,-75.875233,"NESCOPECK SP_1",10
"39_1_1",0,0,41.360522,-79.894853,"39_1",1
"39_1_2",12,1,41.362378,-79.900278,"39_1",2
"39_1_3",10,1,41.363438,-79.905331,"39_1",3
"39_1_4",8,1,41.364781,-79.911099,"39_1",4
"39_1_5",14,1,41.367633,-79.915219,"39_1",5
"39_1_6",8,1,41.369992,-79.920637,"39_1",6
"69_1_1",0,0,41.63281,-79.89119,"69_1",1
"69_1_2",0,0,41.62823,-79.89088,"69_1",2
"69_1_3",12,1,41.62141,-79.889012,"69_1",3
"69_1_4",0,0,41.61324,-79.89942,"69_1",4
"69_1_5",2,1,41.61204,-79.89357,"69_1",5
"69_1_6",0,0,41.61198,-79.9004,"69_1",6
"69_1_7",0,0,41.61205,-79.90723,"69_1",7
"69_1_8",0,0,41.61219,-79.91586,"69_1",8
"69_1_9",0,0,41.61783,-79.91652,"69_1",9
"69_1_10",0,0,41.62293,-79.91669,"69_1",10
"69_2_1",0,0,41.62661,-79.90449,"69_2",1
"69_2_2",0,0,41.62686,-79.91055,"69_2",2
"69_2_3",0,0,41.62527,-79.91673,"69_2",3
"69_2_4",0,0,41.62907,-79.91701,"69_2",4
"69_2_5",0,0,41.63597,-79.91723,"69_2",5
"69_2_6",0,0,41.63912,-79.91271,"69_2",6
"69_2_7",0,0,41.64119,-79.90483,"69_2",7
"69_2_8",0,0,41.64315,-79.89763,"69_2",8
"69_3_1",6,1,41.65282,-79.93137,"69_3",1
"69_3_2",6,1,41.64986,-79.92602,"69_3",2
"69_3_3",2,1,41.64549,-79.92593,"69_3",3
"69_3_4",1,1,41.63963,-79.92813,"69_3",4
"69_3_5",4,1,41.6378,-79.92218,"69_3",5
"69_3_6",0,0,41.65383,-79.91803,"69_3",6
"69_3_7",0,0,41.66236,-79.91848,"69_3",7
"69_3_8",0,0,41.66873,-79.91879,"69_3",8
"69_3_9",0,0,41.67456,-79.91912,"69_3",9
"101_1_1",1,1,41.83668558,-80.4319339,"101_1",1
"101_1_2",2,1,41.83659188,-80.43997499,"101_1",2
"101_1_3",12,1,41.83654075,-80.44776781,"101_1",3
"101_1_4",12,1,41.83664401,-80.45566742,"101_1",4
"101_1_5",13,1,41.82773111,-80.49720956,"101_1",5
"101_1_6",10,1,41.83465918,-80.49723077,"101_1",6
"101_1_7",10,1,41.83923469,-80.49710864,"101_1",7
"101_1_8",15,1,41.84507428,-80.49698249,"101_1",8
"101_2_1",11,1,41.84100176,-80.46672064,"101_2",1
"101_2_2",2,1,41.84639267,-80.468811,"101_2",2
