"route_id","sightings","pres_abs","Latitude","Longitude","Route","Stop"
"Route 001 Stop 1",1,1,42.084167,-79.914028,"Route 001","Stop 1"
"Route 001 Stop 10",1,1,42.104972,-79.964194,"Route 001","Stop 10"
"Route 001 Stop 2",1,1,42.087556,-79.920944,"Route 001","Stop 2"
"Route 001 Stop 3",3,1,42.091028,-79.925917,"Route 001","Stop 3"
"Route 001 Stop 4",3,1,42.094583,-79.929806,"Route 001","Stop 4"
"Route 001 Stop 5",1,1,42.100417,-79.929611,"Route 001","Stop 5"
"Route 001 Stop 6",3,1,42.101806,-79.935944,"Route 001","Stop 6"
"Route 001 Stop 7",0,0,42.101889,-79.944,"Route 001","Stop 7"
"Route 001 Stop 8",5,1,42.101806,-79.952083,"Route 001","Stop 8"
"Route 001 Stop 9",3,1,42.101806,-79.960694,"Route 001","Stop 9"
"Route 003 Stop 1",0,0,41.72872,-79.26061,"Route 003","Stop 1"
"Route 003 Stop 10",0,0,41.77271,-79.24299,"Route 003","Stop 10"
"Route 003 Stop 2",0,0,41.73445,-79.26218,"Route 003","Stop 2"
"Route 003 Stop 3",0,0,41.73941,-79.26333,"Route 003","Stop 3"
"Route 003 Stop 4",0,0,41.74463,-79.26248,"Route 003","Stop 4"
"Route 003 Stop 5",0,0,41.75001,-79.25976,"Route 003","Stop 5"
"Route 003 Stop 6",0,0,41.75483,-79.25663,"Route 003","Stop 6"
"Route 003 Stop 7",0,0,41.75825,-79.25144,"Route 003","Stop 7"
"Route 003 Stop 8",0,0,41.76216,-79.24686,"Route 003","Stop 8"
"Route 003 Stop 9",0,0,41.76715,-79.24457,"Route 003","Stop 9"
"Route 004 Stop 1",0,0,41.7357833333333,-78.6949666666667,"Route 004","Stop 1"
"Route 004 Stop 10",0,0,41.7391833333333,-78.7587166666667,"Route 004","Stop 10"
"Route 004 Stop 2",0,0,41.73615,-78.702,"Route 004","Stop 2"
"Route 004 Stop 3",1,1,41.73625,-78.7098666666667,"Route 004","Stop 3"
"Route 004 Stop 4",4,1,41.7359666666667,-78.70105,"Route 004","Stop 4"
"Route 004 Stop 5",0,0,41.7328333333333,-78.7241833333333,"Route 004","Stop 5"
"Route 004 Stop 6",0,0,41.7306833333333,-78.7306833333333,"Route 004","Stop 6"
"Route 004 Stop 7",0,0,41.7329166666667,-78.73785,"Route 004","Stop 7"
"Route 004 Stop 8",0,0,41.7336833333333,-78.7453333333333,"Route 004","Stop 8"
"Route 004 Stop 9",0,0,41.7365666666667,-78.7517,"Route 004","Stop 9"
"Route 005 Stop 1",0,0,41.9236,-78.26305,"Route 005","Stop 1"
"Route 005 Stop 10",0,0,41.8961,-78.2252,"Route 005","Stop 10"
"Route 005 Stop 2",2,1,41.91935,-78.25805,"Route 005","Stop 2"
"Route 005 Stop 3",2,1,41.9153166666667,-78.2571333333333,"Route 005","Stop 3"
"Route 005 Stop 4",2,1,41.9085166666667,-78.2583333333333,"Route 005","Stop 4"
"Route 005 Stop 5",0,0,41.9026833333333,-78.26045,"Route 005","Stop 5"
"Route 005 Stop 6",1,1,41.9021666666667,-78.2540833333333,"Route 005","Stop 6"
"Route 005 Stop 7",0,0,41.90185,-78.2461666666667,"Route 005","Stop 7"
"Route 005 Stop 8",0,0,41.89955,-78.2392,"Route 005","Stop 8"
"Route 005 Stop 9",0,0,41.8969333333333,-78.2325666666667,"Route 005","Stop 9"
"Route 006 Stop 1",0,0,41.9009,-77.92975,"Route 006","Stop 1"
"Route 006 Stop 10",1,1,41.860533,-77.965983,"Route 006","Stop 10"
"Route 006 Stop 2",1,1,41.896117,-77.934667,"Route 006","Stop 2"
"Route 006 Stop 3",0,0,41.891317,-77.937933,"Route 006","Stop 3"
"Route 006 Stop 4",0,0,41.8867,-77.941983,"Route 006","Stop 4"
"Route 006 Stop 5",1,1,41.885267,-77.948633,"Route 006","Stop 5"
"Route 006 Stop 6",0,0,41.880017,-77.951233,"Route 006","Stop 6"
"Route 006 Stop 7",1,1,41.874533,-77.954317,"Route 006","Stop 7"
"Route 006 Stop 8",0,0,41.869117,-77.957017,"Route 006","Stop 8"
"Route 006 Stop 9",0,0,41.863417,-77.95945,"Route 006","Stop 9"
"Route 007 Stop 1",0,0,41.712611,-77.578194,"Route 007","Stop 1"
"Route 007 Stop 10",0,0,41.668361,-77.588528,"Route 007","Stop 10"
"Route 007 Stop 2",1,1,41.707722,-77.583222,"Route 007","Stop 2"
"Route 007 Stop 3",2,1,41.703222,-77.589056,"Route 007","Stop 3"
"Route 007 Stop 4",2,1,41.697556,-77.591444,"Route 007","Stop 4"
"Route 007 Stop 5",2,1,41.69277,-77.58974,"Route 007","Stop 5"
