strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
020200031001,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
020502010506,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
030401020402,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071200020504,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
020802030301,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
060200010301,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
070400020309,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
070400030310,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
090300060404,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
031502030302,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050902010102,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
050902010402,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
051201120106,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
070802080703,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
071300030801,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
071300050504,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
010900010302,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
030601090206,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030902060602,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051202080101,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
111302080402,bAMWOx,1,1,2,3,Native,Known/extant,Nonbreeding,Winter
031501100403,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040201050405,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
040601020202,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
110702010401,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
020503041102,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
030102030305,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030601050303,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051201100401,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
051201120902,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
070500050206,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
090201080704,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
110701030102,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
120602010702,bAMWOx,1,1,2,3,Native,Known/extant,Nonbreeding,Winter
030300020606,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020403020404,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030701070108,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
040500011302,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
040801020105,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
071401080103,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
121101110702,bAMWOx,1,1,2,3,Native,Known/extant,Nonbreeding,Winter
010802040302,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
080801030406,bAMWOx,1,1,2,3,Native,Known/extant,Nonbreeding,Winter
102300030504,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
110100080206,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
120302021105,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
041503050404,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
051201090101,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
121001020204,bAMWOx,1,1,2,3,Native,Known/extant,Nonbreeding,Winter
010400020907,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
040400030202,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
050600011002,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
070500030202,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
070900050708,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
020302020502,bAMWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
071300010504,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
103002000604,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
121101080205,bAMWOx,1,1,2,3,Native,Known/extant,Nonbreeding,Winter
040500040204,bAMWOx,1,1,1,4,Native,Known/extant,Breeding,Summer
